"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1"
"68","K7b-aw_S81","ASV28",6.12974161627268,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","o_Sphingomonadales","f_Sphingomonadaceae","g_Sphingomonas","Sphingomonadaceae","ASV28 (g:Sphingomonas)"
"69","K7b-aw_S81","ASV150",0.183250870441635,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","uncl_o_Pseudomonadales","uncl_o_Pseudomonadales","Unassigned","ASV150 (o:Pseudomonadales)"
"70","K7b-aw_S81","ASV38",13.1940626717977,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","g_Acidovorax","Comamonadaceae","ASV38 (g:Acidovorax)"
"71","K7b-aw_S81","ASV18",0.00916254352208173,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV18 (p:Proteobacteria)"
"72","K7b-aw_S81","ASV24",0,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV24 (p:Proteobacteria)"
"73","K7b-aw_S81","ASV19",0,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV19 (p:Proteobacteria)"
"74","K7b-aw_S81","ASV52",4.15979475902511,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","Unassigned","ASV52 (c:Alphaproteobacteria)"
"75","K7b-aw_S81","ASV25",0.668865677111966,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV25 (g:Pseudomonas)"
"76","K7b-aw_S81","ASV29",0,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","Unassigned","ASV29 (c:Gammaproteobacteria)"
"77","K7b-aw_S81","ASV26",0,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV26 (p:Proteobacteria)"
